Comment,Factor,Sentiment
last 10 year pollution gone bad ahmedabad want go visit birth city anymore literally ca breathe soon get airplane,Location,negative
question love work,Firecrakers,positive
best way luv way presented news fact swag,Firecrakers,positive
gajab,Location,neutral
questioned student,Location,neutral
TRUE,Firecrakers,neutral
deshbhakt ji iits itne competition hote h innovative idea solve problem government cash award price k sath 1 competition kyu nahi launch ker solve pollution delhi ya india,Government,neutral
would question,Firecrakers,neutral
halore mai kyo nahi hota mera matlab lahore mai pallution punjab say,Location,neutral
sir aap keval deshbhakt hi nahi hai balki aap democracybhakt hai duniyabhakt earthbhakt hai aap jese hi medium ki hame jarurat hai support maharashtra,Location,neutral
modi blame bro ausual,Location,neutral
kind constructive criticism must come bjp becomes totally biased biasedness form condemnable perhaps ove content initiative totally biasedness personal opinion called andhbhakt whatever ca deny fact wish one day politician also understand importance constructive criticism put effort country development instead fighting battle power opinion healthy democracy strong opposition must,Government,negative
much needed video thankful work donate support,Location,positive
question cheap political party,Location,negative
murkh,Location,neutral
question kon kon kattar hindu hai nahi ba aise hi spam joke maar raha tha kyon ki aaj kal kuchh chut ye aise hi spam message kar rahe hain har ek social medium platform par despite topic,Stubble burning,neutral
need leader speaker like video eye opener everyone bhai true gem hat,Firecrakers,neutral
roaster respect,Stubble burning,neutral
need share people share common emotion like lgbtq black life matter anything everything save life process ache whenever check aqi level responsible citizen atleast plant tree stop setting fire keep u warm,Location,neutral
bhai,Location,neutral
question also everything,Firecrakers,neutral
punjab pollution free punjab pipeline send smoke delhi,Location,neutral
question know people understanding fact think human being political party member city dying territory dying country dying home earth dying know getting blind front fame everything seems blur many literate people political party anything even common man see problem believe political party cutting tree unnecessary construction name development pool education system poor government hospital management one lol unemployment world could better place management wrong hand well wisher mother,Location,negative
question want social medium influencers stop making dance video spread awareness force govt solve issue thankyou,Government,negative
question individual ask government assign ed bring change modi best though,Government,neutral
north indian state become garden air pollution poor well rich leader playing blame innocent people facing dangerous problem air pollution state especially delhi oh god save beautiful country,Location,negative
himachal ki tazi hawa,Location,neutral
govt educate respective farmer burn farm provide subsidy help monitor strict single farm burnt causing pollution,Government,neutral
funny best brain world never learn grow,Location,positive
let honest kejriwal also corrupted man,Firecrakers,negative
dimaag hil gaya narayan murti ka,Location,neutral
ab ye bhi modi ne kia h ye mat keh dena thoda cm delhi punjab pe bhi bol denai question,Citizens of Delhi,neutral
question question say,Firecrakers,neutral
ye b delhi isliye atleast bola ja raha baki shahro ko koi puchne vala bhi nhi,Citizens of Delhi,neutral
scientific study start hua tha lekin lg ne fund issue nhi krne diye record h ye research half h bhai,Government,neutral
jab lasho pe rajneeti hui thi hmari desh pollution kya cheej hai,Stubble burning,neutral
gajab ki fakiri hai desh mai bacho ke maze hai ba,Location,neutral
deshbhakt peoplenot politiciansso unbiasedpollution free air better free electricity,Location,neutral
finally unsubscribing deshbhakt year old joke improvement enough thanks content year,Location,neutral
free bijli de sakte ho toh equipment bhi de sakte ho farm fire kum nahi zero chahiye golden word,Farming practices,neutral
diwali pe pollution ni hoga bilkul kuki wo hindu ka festival h na,Citizens of Delhi,neutral
need form youth community sustainability future oldie playing ye chale jayenge kuch saal rehna hume,Location,neutral
parali jalane per kaam hona chahiye,Location,neutral
real centrist sab ki dhulai karte hai,Location,neutral
question really captivated sir shame government,Government,negative
polluted air doesnt kill harm human communal politics yet nature,Location,negative
always question,Firecrakers,neutral
blame game always kill middle class poor,Stubble burning,negative
nice,Firecrakers,positive
wonderful sarcasm government andhbhakts ca understand truth fact reality time change government,Government,neutral
government india ban diwali fire crakers across bharat 2023 12th 13th nov 2023,Firecrakers,neutral
blame janata,Location,negative
yeh sab nehruji ki galti hai,Location,neutral
itna late video upload nehi karne ka data khatam ho jata 10pm se pehle,Location,neutral
let give man award unbiased person,Location,neutral
akash 2000 note still pocket atleast tear find chip bhakt banerjee value,Location,neutral
trait common among bjp aap order appear working really hard believe causing immense inconvenience public demonetization bjp case odd even aap,Government,negative
sir havan karwaiye modi ji ko kehke delhi,Citizens of Delhi,neutral
delhi mein pollution ki dhulai kar denge tyanv tyanv,Location,neutral
tin din tk jogging kiya yahan delhi mai aur khasi hogaya,Citizens of Delhi,neutral
correction title netas u,Location,neutral
delhi settled coimbatore really miss delhi used,Location,neutral
good work,Firecrakers,positive
meanwhile indian russia ukrain israel palestine north korea blah blah,Location,neutral
india lot capability deal kind problem dirty politics politician continuously eating strength making nation empty,Stubble burning,negative
yeh admi kisi party ko nahi chodte sabko lapete main leta hai,Vehicle emission,neutral
well presented,Firecrakers,positive
luv ur video,Location,positive
akash netas angel public blamed ill,Location,negative
live delhi worst face air quality one talk air quality really bro u built different thanks lot,Location,negative
wished make journalist pm cm minister see resolved problem,Government,neutral
another video made india deteriorating relationship neighbour citizen inspite jaishankar,Location,negative
india many people think firecracker release oxygen gas instead poisonous gas many people say firecracker responsible air pollution stubble burning firecracker responsible severe air pollution delhi ncr region fact,Stubble burning,negative
respect button deshbakt unbiased,Location,neutral
always waiting video,Location,positive
sir second channel ko bhul gaye kya jk love work,Industrial emission,positive
deshbhakt ko salam way put knowledge video sarcasmwala way incredible bhai,Citizens of Delhi,positive
sans kyu le rahe hai log logon ki galti hai,Location,neutral
big fan sir,Firecrakers,positive
good,Firecrakers,positive
lagta hai bhavishya main axijen ka bhee subscription lena padega,Location,neutral
north india toxic way possible irony,Location,negative
love arunachal pradesh,Location,positive
good unbiased video,Location,positive
new video new channel,Firecrakers,neutral
real news matlab deshbhakt,Location,neutral
delhi need follow bejing way,Location,neutral
explain everything well,Location,neutral
love consistency,Location,positive
im ur big deshbakth,Citizens of Delhi,neutral
first viewer,Location,neutral
2nd view,Location,neutral
watching know nailed,Location,neutral
first view,Location,neutral
love bos,Location,positive
first comment,Location,neutral
keep,Location,neutral
nameste bhakt banerjee,Location,neutral
im first,Location,neutral
like vedio sir love,Vehicle emission,positive
hum first hum,Location,neutral
wondering content fab chosen channel hindi also write caption language instead favour english lucky languge devanagri script especially according latest 2011 census 56 indian speak 1st 2nd 3rd language compared 10 literate english,Location,neutral
1st,Location,neutral
agree,Firecrakers,neutral
questioned,Firecrakers,neutral
question abt economics social welfare abt health,Location,neutral
leftist bhakt,Location,negative
saw jawan day netflix sacchi mein agar desh ko sudharna hai toh mantriji ko uthao right thing sure lekin humare desh mein yehi chalega,Location,neutral
really appreciate work toward nation true inspiration many keep going,Firecrakers,positive
question morehats,Location,neutral
listening delhi pollution every year govts serious playing blame game ca sc create independent agency investigate timeframe including scientist iit delhi iits instead celebrating chandrayaan wish isro could contributed analyzing delhi climate atmosphere lot university collage enough scientist research serious public issue otherwise research facility academic institution use public benefit,Government,negative
question environment act implemented strictly feel pity entire nation upcoming specially india bxs people india raised question strategic politics engaged people survive live bread earning ignoring fact recently government implemented crafted environment act favoring business business good help country grow counted gdp butwhen previously conducted scientific survey ignored quoted video new survey done greediness global warming major cause flash flood assam uttarakhand manali heat stroke north central asia 115 rise forest fire bandipur forest fire earthquake felt delhi etc within couple month southern shore submerging like kerala flora fauna also rapidly affected presently mismanagement cheetah project bird population declining also one alarming situation half world bird specie decline,Government,negative
akash bhai indian question everything,Citizens of Delhi,neutral
wearequestioningdeshbhakt,Citizens of Delhi,neutral
question yrrrr ba bhot gyah ab pollution bardash se baghar ho chuka h isko roko,Location,neutral
question questioningdeshbhaktas humanity student assure sir questioning government level right also duty realise india part various international treaty environmental conservation sustainability reducing pollution question limited delhi capital image world question image global level commitment global community,Government,neutral
humare sawal dil se ya zyada drawing room se bahar nahi aa pate sab vote bank ki politics hai sabko khush kerna hai sab khushi khushi marenge,Location,neutral
ye log neem ka ped kyu nahi lagate sadat k kinare,Location,neutral
superrrrr,Firecrakers,positive
ha bhai log hai chutiya kyu k yeh neta type logo ke talwe chaat te hai,Location,neutral
questioning,Firecrakers,neutral
question loved work sir,Firecrakers,positive
support anti pollution movement keep,Firecrakers,neutral
ea sport challenge everything,Firecrakers,neutral
need hour,Firecrakers,neutral
asking question long time got shut abused watching given courage needed stop thanks happy diwali question,Location,neutral
getting shahrukh khan jawan speech vibe last 3 minute,Location,neutral
sahi bacho ki fakiri ho rahi hai ab toh bacho season summer rainy autumn winter ki jagah summer rainy pollution winter padana chahiye autumn toh gayo ok tata bye bye,Location,neutral
protest nothing protest good thing ji also said move forward dont see back,Location,neutral
loved question anyone march,Location,positive
polictians mix together control every year drama pollution,Government,negative
farm fire stopped punjab little effort farmer aware educated burn stubble use machinery make straw roll picked government even bought private industry unaware farmer esp one small land holding afford rent machinery unaware benefit ploughing stubble land resort farm part government needed,Stubble burning,negative
effort invoke consciousness citizen beyond forgery skepticism hidden agenda wish people realise gravity situation current pollution aspect world owing incoming generation best wish team,Firecrakers,neutral
always question,Firecrakers,neutral
yes question,Firecrakers,neutral
jai hind jai india,Location,positive
minister avoid escort vehicle save lot pollution pm cm dm km basically zm avoid using aaghe aur piche dus car show power implement lot help pollution control happen,Vehicle emission,neutral
doglepan ki bhi koyi hoti hai ludiana jalandhar amritsar bade bade shehar hai yahan pardooshan nahi hota hai punjab main pardooshan nahi hai haryana mein koyi asar nahi hai rajasthan main koyi problem nahi hai jo padosi hai unko koyi problem nahi hai yahan tak ke pakistan punjab main lahore itna bada sheher hai unko bhi koyi problem nahi hai iske upar parali saal main 10 15 din hi jalayi jati hai phir poora saal pardooshan kiyo rehta hai abb punjab main parali jalana ban hai phir kiyo punjab ke khilaf itni nafrat hai longo ke man main punjab main hindu kisaan bhi hai balke punjab main hindu sikhon se jiyada hai phir bhi parali jalate hue sikh kisaan hi kiyo dikhaya jata hai tatte ke deshbagat ho dogle ho ba,Location,neutral
politician drive diesel range rover people ca drive question,Vehicle emission,neutral
need leader like shastriji,Location,neutral
use q,Firecrakers,neutral
instead taking action normal people first government car banned delhi pollution second thing whether bjp aap congress cpim dmk br arvind kejriwal narendra modi stop using car,Government,negative
east india se hu hum saaf hawa mai saas lete hai,Location,neutral
khujriwal ka dalal deshbhakt,Citizens of Delhi,neutral
best brainwasher maulanas dhruv rathee,Firecrakers,positive
bhai tum chutiye hokejriwal modi par dal dotumhen desh pm banana chaye delhi geography hi aisi hai,Citizens of Delhi,neutral
question u r right man,Firecrakers,positive
thank akash banarjee sir effort exploit small big problem nation getting hidden u medium politician today delhi becoming gas chamber every main city india become gas chamber like ahmedabad benglore kolkata strict action must take order provide good life next generation,Citizens of Delhi,negative
se vai ne aag laga dia agae ye sunke vi kisi ko aakal nahi aya wo hain spineless respect,Location,neutral
well write question make difference name identity matter question doomediptedaye ishaq hai darta hai kya aage aage dekhiye hota hai kyafeel sorry kid everyone sorry need learn live itpollution related issue improve politican say yeh sab ameeron ke chonchle hain would,Stubble burning,negative
apni galti chupane ke liye dusre ki 1000 galti gina aapian thing woh galti kr rhe hain isliye hm bhi galti karenge solution party ka naam bol deta hn fir bol dunga rajneeti nhi krni chahiye video yamuna ji ke pollution pr bhi bna shyd usme glti maharashtra ki bhi nikal aaye bjp ruled state h ya fir west bangal ki bhi ho skti hai kyonki aap ruling party nhi h na,Government,neutral
good job best,Firecrakers,positive
fire word emotion representing real deshbhakt never wanted live state mode pm say keh sab changaa sii,Firecrakers,negative
want question n,Firecrakers,neutral
question right life breathe oxygen pollution,Location,negative
pollution control board already hai influenced politician addition corruption time favourite thing phir bolo k sab changa si,Vehicle emission,negative
bhai isme modi ko kyu lapet lia isme pura credit kejriwal ko de,Citizens of Delhi,neutral
akash madarchod raajneeti aap na kare behtar hoga neither like fuck modi party bjp ruling state took action stubble burning reduced meanwhile aap good making people fool jaise unhone yamuna ko clean krne ka kaha fire indiapunjab 65 haryana 5 added bjp ruled statesharyana uttar pradesh madhya pradesh 30 politics tu kar rha hai madarchod ye bol sakta tha ki aap learn something state state reduce stubble burning punjab criticism,Stubble burning,negative
ji din sharad pawar ko mouth cancer hua uske bad tobacco k regarding strict law implement keye gye jb tk kisi politician ko air pollution related disease nhi hoge jb tk kuch nhi hoga,Government,negative
kuch baat sahi keh rha tha par apne maaliko ka agenda ghusane se baaz nahin aata,Location,neutral
sahi bataon 70 pollution public jimmedar hai,Location,neutral
best episode,Citizens of Delhi,positive
sare gi nange hamam public ho ya politician,Government,neutral
question questioningdeshbhakt,Citizens of Delhi,neutral
punjab government haryana government responsible pollution responsible mumbai car people delhi mumbai top list polluted city trying support kejriwal government 0 iq said manifesto decrease pollution yamuna river delhi polluted earlier,Government,negative
definitely question,Firecrakers,neutral
akash ji hum loog bhokth na ram ji ki hamare okat nehi vokne ki 2014 ke independence ke bad pucna mana ji puchenge poronto fokhir ji ko nehi,Location,neutral
sad know delhi capital india also pollution capital world city india also high pollution level question,Location,negative
literally scientific approach proper solution long people blind political appeal realize nothing matter environment breathe,Location,neutral
people aware towards environment today situation hazardous hat sir bringing episode,Location,negative
tun chutiye u mein bhi bol dega ke kisan ke peeche haath ke padd tun tun main main kon kar rha hai kejju bhai itne saal punjab ko ko rhe ab hariyana ko ko rhe haior tum le aaye rajasthan,Farming practices,neutral
questioning essential,Firecrakers,neutral
jeena mushkil hai,Location,neutral
diwali ke baad madar sister toh log karenge egoistic aake firecracker jala ke,Firecrakers,neutral
question great work,Firecrakers,positive
question fight right,Firecrakers,neutral
question moreand everyone,Firecrakers,neutral
u question,Firecrakers,neutral
care let build ram mandir delhi pollution unemployment disease problem,Location,neutral
question speak india question,Location,neutral
keep questioning hold government responsible work,Government,neutral
pollution one day problem jisse aapke called sarkar ek din khtm kr de bt still isse modi k video bnani,Location,neutral
pehla hindu muslim kar la,Location,neutral
sarkar ki maa ki chut,Location,neutral
question ek youtube video hi dekhi thi paralifire ko ki tarah kam kr ke us parali se apne zameen ko fertile kr sakte hai govt khud equipment provide kr sakti farmer ko aware kr sakti hai mai economics padhi hu industry ke upar pollution tax lgti hai tradable emmisiion prmit lgti hai govt kitni hazar crore i pollution ke lia sanction krti hai solution many hai toh govt implement kyun nhi krti last faida unhi ho honi hai vote mil sakta,Government,neutral
modi se question kejriwal rahul ke liye answer job rahul kejri bhakt,Citizens of Delhi,neutral
delhi mein civil ka kam mein jo jiri katate hain bijali ki pipe ke liye plumber ki pipe ke liye aur carpenter ke kam inki control hona chahie,Citizens of Delhi,neutral
topic agree also disgrace india image across globe,Location,negative
common man c cap,Location,negative
hat video inspires alot best journalist india,Location,positive
controlling pollution water air soil need national policy active involvement state player national plan state take responsibility also state work issue get public traction pollution issue people care except sharing meme joke wa day people state question one voice govts compelled sit together take action shirk responsibility play blame game,Government,neutral
akash people know already,Location,neutral
though best spreading proprogand like listen every aspesct time question,Farming practices,positive
keep questioning way always power team,Firecrakers,neutral
question always,Firecrakers,neutral
question loudly clearly,Firecrakers,neutral
making video complaining government solve care stop complaining start change,Government,negative
love u man pakistan,Location,positive
questioning deshbhakt,Citizens of Delhi,neutral
question till die,Firecrakers,neutral
yes,Firecrakers,positive
going hypocrisy,Location,negative
question thank akash ji,Government,positive
one thing parali burning punjab issue aqi chandigarh 125 delhi 450 may contribution local issue need looked,Location,neutral
ask sure thanks akash raising burning issue making u aware kudos effort,Firecrakers,positive
firecracker toh phondege budget bdhakar phondege sckmkb forever,Firecrakers,neutral
jab tak neta log har issue ko politicize karke vote ki bheek maangte rahege tab tak kuch nahi badalne wala congress bjp aap sp bsp tmc aiadmk sabka ek hi kaam hai vote ki bheek,Stubble burning,neutral
sabse ghatiya kisam ke log hai desh mein,Location,neutral
question wo vote kejriwal onwards thanks kash,Citizens of Delhi,neutral
watch mutiple straight,Location,neutral
question education kab milega,Location,neutral
question living ncr getting unbearable due problem right politician keep blaming take action people india suffering none politician care enoughisenough needcleanair delhipollution,Location,negative
mujhe fark padta hai question,Firecrakers,neutral
blame easy make statement video related trouble want change something first change ashamed stay country go somewhere complain find gave 2hands 2 leg 2 eye working brian gave problem government shout work change rather making video incompetency kind people making video making big negative impact people ball problem government way government start change live democratic country,Government,negative
goosebump question,Firecrakers,neutral
question anymore study hard bearing torture somehow get good job foreign country say india bye,Location,negative
people also responsible bearing even ask word authority,Government,neutral
iwillquestioningmore,Firecrakers,neutral
govt could would ban breathing,Government,negative
question hear government get disappointed,Government,negative
question bnta hai sarkar se,Location,neutral
heartbreaking see enervating quality life delhi today delhi tomorrow would whole india thou leader sitting ac room would never affected adversity life going like never saw misery farmer iwillquestionmore,Location,negative
hello fool desh bhakt date make video khalistan ur jus brain washer,Location,negative
festival light festival loud sound polluting cracker thousand way light surroundings keeping air clean people ready die 65 instead 85 bursting polluted cracker logic person another religion dumb stuff also dumb stuff,Location,negative
question delhi govt vishwa guru modi,Government,neutral
last two minute video made recall srk monologue jawan great video deshbhakt thanks,Location,positive
iit delhi jnu jaise bade college wali city ek bhi phd scholar nahi hai jo ispe research kare ki delhi ki itni buri halat kaise hai,Location,neutral
generally subscribe channel youtube avoid influence timeline watch video considering topic bangladesh watch video without reading big fan one day change mind subscribe channel first,Location,neutral
indian american living usa looking invest india definitely question,Location,neutral
yes question morefrom village,Location,neutral
pretty sad state affair estimate amount despair people met auto rickshaw driver said ye tho acchi hawa hai delhi ke logo ko normal hawa mai saans nahi aati sir,Citizens of Delhi,negative
mai minority bhi minority hu,Location,neutral
okay question start gyan poora diya karo,Citizens of Delhi,neutral
sir mention two wheeler exemption might run petrol diesel vehicle prevented,Vehicle emission,neutral
make video heart scripted politics nonsense,Government,negative
question l,Location,neutral
concerned want question government whether solve recurring pollution problem,Government,neutral
feel pain akash finally someone trying raise voice,Location,negative
ask question,Firecrakers,neutral
punjab think government introduce msp crop doesnt include stubble prevent air pollution also save punjab ground water diversify punjab production amd quality te crop fertility increase mulching crop soil,Government,neutral
bakehi aap desh vakt ho bhi,Vehicle emission,neutral
bhai ne point ki baat kari hai,Location,neutral
questioning government make country good,Government,neutral
true must understand plotice hope plotician understand pocket,Location,neutral
police constableand question morei transferred get suspended choosing die easier way questioning love india,Location,negative
jai shree ram jai modiji arvind kejrival ruined delhi,Location,neutral
thank unbiased research statement question indeed want future generation live behind failure fear,Location,neutral
reach,Location,neutral
kuch telangana election k bare batayega please,Stubble burning,neutral
farmer family punjab really want know want u parali stop blaming punjab control crowed population vehicle farming way livelihood u vehicle gust mean transport use public transport want control pollution talking delhi pollution pls mention kolkata mumbai,Vehicle emission,neutral
vedio running background,Vehicle emission,neutral
question want question know ask go make heard,Location,neutral
question moreproblem serious said logo ko ghanta farak nahi padta harsh reality get messier time progress might take generation change know day coming generation le hardworking calling coming generation instagram generation want everything second never want work anything put effort load love regard thank putting effort,Location,neutral
big fan view first time agreed,Firecrakers,positive
people stop voting,Government,negative
question kuch chutiye bakwas majority logo ki wajah se sensible logo bhi pollution ki chapet mein pareshan hote hai har saal india se pyaar nahi hai aur chale hai apna religion bachaane abe saaf saans toh lene layak bann lo pehle get angry see people going morning walk jogging outside itne gande air pollution mein koi dikkat hi naa ho sab dekh ke andekha karna toh koi hum indian se much aakash sir team making great content keep supporting,Location,neutral
bad random policy happening delhi happening town yes pollution climate change increased town thanks delhi wala chaiwala development problem lie megacity many people much work much problem people need understand,Citizens of Delhi,negative
question recently shifted ncr along wife 2 kid daughter 2 year son 6 month old ki nark aagaya dad paralysed lived hometown jabalpur one earning got fired tata business hub tata never suffered along 2000 employee responsible,Location,negative
air purifier sell increasing time buy eureka forbes share,Location,neutral
ask,Firecrakers,neutral
sir hume phir ab kya krna chahiye,Location,neutral
certainly question thats way get real corrective action,Government,neutral
would ask question,Firecrakers,neutral
liberalism farm fire indiapunjab 65 haryana 5 akash banerjee added bjp ruled statesharyana uttar pradesh madhya pradesh 30 said stop politics farm fire medium bootlicked liberal govts 60 chatoge yaar,Location,neutral
ask question,Firecrakers,neutral
mudi adani ambani bjp r hindu responsible every problem country,Government,negative
bloody,Vehicle emission,negative
respect increasing day day,Location,neutral
main soch hi raha tha diwali aagai koi librandu ab tak rona kyu shuru nahi hua,Location,neutral
akash trying equally blame aap since know entire bureaucracy delhi govt answerable delhi chief minister,Government,negative
reality realise vote dena nahi hai politician political party ko change karna se problem solve nahi hote apne haq ke liye protest karna hai,Location,neutral
good youtube channel like,Location,positive
villager punjab guard farm stick weapon one stop burning farm want question,Farming practices,neutral
blame please blame public leader fact index country trying become super power vehicle pollution mean india manufacturing vehicle construction pollution mean india making express way factory le farm pollution mean india producing ethanol agriculture waste blame pavan devta direct wind towards indian ocean towards city leader may concentrate creating pollution make india world largest economy banerjee babu suffering pollution treated human sacrifice appease pavan devta fulfil dream leader,Vehicle emission,negative
2050 tak bhi ye india ko develop county bana ke maan lena,Location,neutral
hahaha ngt ne kha ukhad lia din rat aravali bam se udate aag jalate ped kaat te forest illegal house banate forest aur ngt sota rehta yaha department sirf dikhane ko bante india,Location,neutral
question heard someone saying every party please tell get tshirt loved,Location,neutral
university student delhi seeing black haze take disheartening year imagine anybody would like study anymore cost major health implication people blame youth leaving country people supposed work situation pretend normal worst thing rich afford air purifier fancy n 99 mask hand one suffers common people delude cloth mask protect pm wake call everybody november mentioned regularly checking delhi aqi since june quality always bordering poor good day problematic huge death toll due covid people finally realising importance health honestly outrage people acceptance joke fact holding people accountable agree question sorry able contribute channel moment unemployed hopefully soon could till want thank raising voice channel source comfort dark time,Location,negative
car 2020 diesal model ban delhi kejriwal ki maa ki c craker apna kya delhi walo ki roj ftegi,Vehicle emission,neutral
definitely question,Firecrakers,neutral
wake guy child,Location,neutral
question unbiased video,Location,neutral
abe gaando topic kam jaaya kar,Location,neutral
man deserves prize person jo kabi kisi party ke taraf se nhi logo ki taraf se real medium ki tarah boltah hai jo ki ek journalist ka kaam hota hata hai,Stubble burning,neutral
nd questioning govt social medium tweeter nd various platform,Government,neutral
reality government useless ask want child,Government,negative
kejriwal pada likha,Citizens of Delhi,neutral
great,Firecrakers,positive
tax vi dega middle class car road pe nikal ke wajah se fine vi bharega middle class,Location,neutral
question question government providing subsidy electric car two wheeler price ceiling electric vehicle government,Government,neutral
unless thr people fir nothing going improve piluce environment etc etc,Location,negative
abrak ki best video hai ye banerji aapki high time,Location,positive
dear sir research scholar environmental science understand concern fact yaha politics kaam nhi karegi sabko milker karna hoga sabko apna carbon footprint near zero rakhna hoga future generation dangerous condition,Farming practices,negative
question great video,Firecrakers,positive
government bahut strict ho gai hai,Government,neutral
super reality nicely presented end day till bhakts open eye nothing going change,Location,positive
thank sir bringing real issue,Firecrakers,neutral
look data delhi aqi 450 ludhiana 260 amritsar 249 chandigarh 213 come farm fire punjab affecting punjab affecting delhi 500 km stop defaming farmer look actual issue delhi,Location,negative
questioning,Firecrakers,neutral
please try look beyond neighboring city like islamabad nearby city border also go stage air pollution september february dust desert take respite rain matter taken seriously find root cause,Location,neutral
akash questioned aap bjp u use dear sleeping mode including,Government,neutral
banker posted rural area west bengal like everyone life hut rather house atleast arr either pucca pucca saying make understand economic environment give example people proper garbage disposal system people use one time plastic time side road filled empty packet chip ice cream etc course empty bottle liquor talk woman time thanks job say almost every family drunkard beleive consuming alcohol status symbol garbage disposal system everything including plastic often burned time bother far locality,Location,neutral
fully agreed,Firecrakers,positive
question great video akashji,Location,positive
question excellent effort,Firecrakers,positive
assam blame people using electricity electricity tariff hiked demand supply le asking people sit tree use ac fan irony cutting tree expand highway govt responsibility increase supply electricity looking increase population,Government,negative
question lost art questioning either bcoz responsibility helplessness bcoz fear simply bcoz feel farak kya padta hai nothing gon na need change bring change want see,Stubble burning,negative
question dada please make video pollution west bengal nobody ever talked issue,Location,negative
tum modi ka chamcha ha,Location,neutral
definitely sir question,Firecrakers,neutral
question question,Firecrakers,neutral
question deshbhakt,Citizens of Delhi,neutral
right,Location,neutral
imagined le farm fire bihar,Location,neutral
shit issue country become world leader dream narendra modi politician,Stubble burning,negative
channel real,Location,neutral
question pollution delhi,Location,neutral
ab security guard bhi contributer ho gaye hain aap se naa ho payega,Location,neutral
neta log jyada gari chalata hain,Location,neutral
rubbish politician politics let work responsible polluting city different different way always go car bike within 1 km many factor pollution responsible governance defend party,Vehicle emission,negative
ek number journalism,Location,neutral
ajse smoking band,Vehicle emission,neutral
quition,Firecrakers,neutral
baat karte karte tu apne harkato pe aahe jata video pollution pe hai aur wahe sab bakwas shuru ho jate hai,Vehicle emission,neutral
pm ne sab barbad kardi hain pehle hi pm ko step lena chaiye tha itne din onone bidesh ghum rahtha,Location,neutral
question sure,Firecrakers,neutral
lot love,Firecrakers,positive
love episode hand feel deeply concerned people mentality environment,Location,negative
air pollution water pollution upr se earthquake,Location,negative
delhi pollution ki waza shirf diwali bjp r hai aur koi nahi,Location,neutral
sir logo ki ankhen kholo nice job,Firecrakers,positive
honest frank,Firecrakers,neutral
2021 delhi government collaboration indian institute technology iit kanpur decided conduct study source apportionment pollution per report central govt intervened stopped funding iit kanpur conduction wo solve problem battle central govt state govts continues like simply delay work action taken betterment public,Government,neutral
diyas candle fire cracker season bhai promise,Firecrakers,neutral
maharashtra main bhi 17 city main pollution high hogya hai mumbai high court ko action lena pada bhi kuch nahi ho raha hai,Location,neutral
eye opening serious topic raised logo ki liye toh sab changa si,Firecrakers,neutral
anti,Vehicle emission,neutral
instead shutting everything like govt deploy mistifyer bring fog seen one video china,Government,negative
government blame pollution crisis think people blame environment pollution major issue issue hum khatre mai hai nobody willing look issue thus suffer majority log hi chutiya hai chutiya sarkar hi choose krenge,Government,negative
keep support love brother,Firecrakers,positive
rice cultivation punjab main reason problem,Farming practices,negative
mera toh nightmare hai ki jabh tak mein bada honga tabh tak dunayaa kharab ho jayegi,Location,neutral
question totally accept fact presented,Firecrakers,neutral
already question lot brother,Firecrakers,neutral
sir ahmedabad bhi race dusri baat eagerly waiting godi rating point episode,Firecrakers,neutral
rightly said akash u v blind folded everyone one able see actual problem,Citizens of Delhi,negative
scientific study toh jb hogi tb hogi inki ye jo response action program mein usme clous seeding tech se artificial rain krke haalat sudhari jaa skti hai every week jab itne kharche ho hai toh isko budget mein include kyu nahi kr sakte,Farming practices,neutral
much needed topic discussion something act upon regularly frequently across year,Firecrakers,positive
grap ghanta response action plan,Firecrakers,neutral
ban firecracker core issue stubble burning taken care,Stubble burning,negative
pichle 10 saal se delhi ko barbad kar aap bjp congress lao delhi bachao,Citizens of Delhi,neutral
kya chal ra hay e desh,Location,neutral
question akash show feeling inside talking kid incident emotion rather say anger coming face absolutely fine step ask question want better future child,Citizens of Delhi,neutral
last year bhi mene i topic per aap k episode dheka tha aur phir ye saal bhi lag tha desh chod ne k waqt aagaya,Location,neutral
thanks,Firecrakers,positive
parali jalane se caqm report ke anusar 3 pollution hota h i air reason kuch h,Firecrakers,neutral
isliye delhi best education,Location,positive
kejriwal desh ka sabse bada jumlabaz hei yamuna clean vi nehi kar saka parali prblm vi nehi slove kar payar,Citizens of Delhi,neutral
qustion,Location,neutral
person experienced first hand moved shillong better air paradise crumbling mammoth rate feel 10 year like delhi citizen understands value wonderful called polution free life drive car 30 year old place terrible traffic situation ever seen grown everything boil hdi low trick ruling party successfully kept way cost human life india increase india improve parameter chorus voice asking question easily drowned cacophony irrelevant excrement,Citizens of Delhi,neutral
india learn alot city management china handling pollution mass scale,Location,neutral
yeh mera galti hai kyun ki main jyada cycle chalata hu,Vehicle emission,neutral
master aur phd thesis delhi ke pollution par karne jaa raha hun,Location,neutral
excellent episode akash could better blame game total inaction part government give u hope improvement lived delhi year moved back kolkata last year air totally clean seeing situation delhi seems worse last year relieved stats showed extremely uncomfortable reality sarkar ko ghanta farak nahin padta people also responsible bcoz willing take step help improve situation want travel personal transport public transport want air conditioner want uninterrupted power supply hence countless gensets polluting air list long depressing see improvement horizon,Government,neutral
godi medium blame debacle,Stubble burning,negative
live content like,Location,neutral
question listen,Firecrakers,neutral
one thing sure acting neutral hyperpolarized world acceptable plz ur research say aap horrible thing bjp put blame aap alone remember air physical boundary,Location,negative
question always,Firecrakers,neutral
love aakash,Location,positive
